,Days,Susceptible,Asymptomatic,Presymptomatic,MildlyInfected,SeverelyInfected,Recovered,Hospitalized,Dead,NewDeathsPerDay,NewIdentifiedInfections,NewInfections,TestPositivityRate,CaseFatalityRate,Mean(R),Std(R)
174,175.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.95596348083505,4.95596348083505
175,176.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.96664832966971,4.96664832966971
176,177.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.97477097340353,4.97477097340353
177,178.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.98093509363756,4.98093509363756
178,179.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.98560609158511,4.98560609158511
179,180.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.98914124701179,4.98914124701179
180,181.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.99181390571224,4.99181390571224
181,182.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.99383262269827,4.99383262269827
182,183.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.99535616029649,4.99535616029649
183,184.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.99650515076951,4.99650515076951
184,185.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.99737111020936,4.99737111020936
185,186.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.99802337428901,4.99802337428901
186,187.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.99851441347549,4.99851441347549
187,188.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.99888389669668,4.99888389669668
