,Days,Susceptible,Asymptomatic,Presymptomatic,MildlyInfected,SeverelyInfected,Recovered,Hospitalized,Dead,NewDeathsPerDay,NewIdentifiedInfections,NewInfections,TestPositivityRate,CaseFatalityRate,Mean(R),Std(R)
113,114.0,69873.0,485.0,244.0,1043.0,18.0,28276.0,12.0,49.0,0.0,156.0,162.0,31.2,0.0,1.01221389447185,0.0344163049166781
114,115.0,69712.0,475.0,235.0,1049.0,20.0,28447.0,13.0,49.0,0.0,110.0,146.0,22.0,0.0,0.962040172350988,0.0335550042902128
115,116.0,69579.0,472.0,208.0,1053.0,19.0,28607.0,13.0,49.0,0.0,120.0,118.0,24.0,0.0,0.960290540240135,0.0335348003022323
116,117.0,69409.0,461.0,238.0,1031.0,18.0,28782.0,12.0,49.0,0.0,109.0,155.0,21.8,0.0,0.973973181737528,0.0338479078828842
117,118.0,69255.0,443.0,250.0,1028.0,18.0,28944.0,12.0,50.0,1.0,112.0,145.0,22.4,0.0,0.989755265833568,0.034210946675816
118,119.0,69115.0,433.0,224.0,1034.0,16.0,29116.0,11.0,51.0,1.0,127.0,130.0,25.4,1.0416666666666665,1.00795470238063,0.0345929158316786
119,120.0,68962.0,425.0,222.0,1035.0,17.0,29278.0,10.0,51.0,0.0,130.0,139.0,26.0,0.0,0.974141660415718,0.034039264381097
120,121.0,68796.0,425.0,233.0,1027.0,14.0,29442.0,12.0,51.0,0.0,113.0,148.0,22.6,0.0,0.982350783872224,0.0342010643565438
121,122.0,68638.0,419.0,225.0,1025.0,15.0,29615.0,9.0,54.0,3.0,108.0,143.0,21.6,0.9174311926605505,0.978131885933167,0.0341786941445984
122,123.0,68502.0,426.0,207.0,1020.0,15.0,29766.0,10.0,54.0,0.0,128.0,123.0,25.6,0.0,0.958419230378742,0.03388523685102
123,124.0,68356.0,428.0,206.0,1014.0,15.0,29917.0,10.0,54.0,0.0,118.0,132.0,23.6,0.0,0.917884281539351,0.0332296421047964
124,125.0,68190.0,426.0,220.0,1005.0,15.0,30079.0,11.0,54.0,0.0,124.0,148.0,31.0,0.0,0.910098356511434,0.0332099606952579
125,126.0,68060.0,409.0,192.0,1014.0,13.0,30247.0,9.0,56.0,2.0,97.0,118.0,27.323943661971832,0.0,0.892500914728954,0.0330782846581122
126,127.0,67927.0,406.0,191.0,988.0,14.0,30411.0,7.0,56.0,0.0,136.0,118.0,37.569060773480665,0.9708737864077669,0.913928702655301,0.033710768047666
127,128.0,67792.0,401.0,197.0,966.0,15.0,30566.0,7.0,56.0,0.0,107.0,121.0,29.971988795518207,0.0,0.88659851133643,0.0334625044297676
128,129.0,67657.0,399.0,192.0,945.0,15.0,30728.0,8.0,56.0,0.0,89.0,126.0,31.2280701754386,0.0,0.879920914427398,0.0335955366249403
129,130.0,67532.0,392.0,200.0,914.0,15.0,30882.0,9.0,56.0,0.0,91.0,111.0,23.57512953367876,0.8695652173913043,0.887883986177545,0.034048796577821
130,131.0,67403.0,394.0,177.0,921.0,18.0,31023.0,8.0,56.0,0.0,106.0,115.0,33.021806853582554,0.0,0.900736214280264,0.03461810490441
131,132.0,67269.0,386.0,181.0,908.0,18.0,31176.0,5.0,57.0,1.0,101.0,125.0,34.23728813559322,0.0,0.900923004972357,0.0349362956424357
132,133.0,67164.0,362.0,168.0,903.0,16.0,31326.0,3.0,58.0,1.0,104.0,90.0,34.0983606557377,1.2048192771084338,0.913559860994941,0.0354797250457627
133,134.0,67036.0,367.0,181.0,887.0,13.0,31452.0,6.0,58.0,0.0,103.0,120.0,29.85507246376812,0.0,0.924212503787221,0.0359749229189615
